"display_order","source_question_id","jotform_qid","jotform_field","gift_id","gift_name","current_question","app_question_used_now","risk_type","review_note","draft_rewrite_for_future_review"
"12","PRAY_Q1","46","q12","PRAY","Intercession","Spending hours in prayer for other people is enjoyable to me.","Spending hours in prayer for other people is enjoyable to me.","behavior intensity","Good discriminator but hours may overstate the threshold.","I carry people, places, or situations in prayer with unusual persistence and burden."
"13","KNOW_Q1","48","q13","KNOW","Word of Knowledge","Education is very important to me.","Education is very important to me.","too broad","May measure personality, upbringing, or learning value instead of Word of Knowledge.","I often receive or organize biblical insight that brings clarity to a real situation."
"14","LEAD_Q1","50","q14","LEAD","Leadership","I tend to motivate others to get involved.","I tend to motivate others to get involved.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"15","MERCY_Q1","52","q15","MERCY","Mercy","My heart hurts when I see others hurting.","My heart hurts when I see others hurting.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"16","MIRAC_Q1","55","q16","MIRAC","Miracles","I believe God will use me to enact His miracles.","I believe God will use me to enact His miracles.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"17","MISS_Q1","57","q17","MISS","Missionary","I enjoy sharing the gospel with other people-groups and nationalities.","I enjoy sharing the gospel with other people-groups and nationalities.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"18","MUSIC_Q1","59","q18","MUSIC","Music/Worship","I've devoted considerable time to mastering my voice and/or instrument.","I've devoted considerable time to mastering my voice and/or instrument.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"19","PAST_Q1","61","q19","PAST","Pastor/Shepherd","Caring for the hurting is one of my highest priorities.","Caring for the hurting is one of my highest priorities.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"20","PROP_Q1","63","q20","PROP","Prophecy","The willful sin of others really aggravates me.","The willful sin of others really aggravates me.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"21","SERVE_Q1","65","q21","SERVE","Service","I enjoy serving behind the scenes.","I enjoy serving behind the scenes.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"22","TEACH_Q1","67","q22","TEACH","Teaching","I like creating outlines of the Bible.","I like creating outlines of the Bible.","narrow method","May miss teachers who teach through story, discussion, or application.","I enjoy helping others understand Scripture clearly and apply it in everyday life."
"23","TONG_Q1","69","q23","TONG","Tongues (and Interpretation)","God has used me to interpret a heavenly language.","God has used me to interpret a heavenly language.","experience dependent","Appropriate discriminator but may need pastoral wording around interpretation and order.","I have experienced tongues or interpretation in a way that strengthened prayer, worship, or the Body when used appropriately."
"24","WISDOM_Q1","71","q24","WISDOM","Word of Wisdom","I enjoy the book of Proverbs more than any other book in the Bible.","I enjoy the book of Proverbs more than any other book in the Bible.","narrow preference","May measure Bible-book preference more than Word of Wisdom.","People often look to me for wise, Scripture-shaped perspective when decisions are unclear."
"25","ADMIN_Q2","73","q25","ADMIN","Administration","I am passionate about managing details.","I am passionate about managing details.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"26","APOST_Q2","75","q26","APOST","Apostleship","I prefer to pioneer new ministry projects.","I prefer to pioneer new ministry projects.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"27","CRAFT_Q2","78","q27","CRAFT","Craftsmanship","I consider myself a craftsman or craftswoman.","I consider myself a craftsman or craftswoman.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"28","DISC_Q2","80","q28","DISC","Discernment","I sense when situations are spiritually unhealthy.","I sense when situations are spiritually unhealthy.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"29","EVANG_Q2","82","q29","EVANG","Evangelism","I am greatly concerned about seeing the lost saved.","I am greatly concerned about seeing the lost saved.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"30","EXHORT_Q2","84","q30","EXHORT","Exhortation","I try to come across as loving and caring.","I try to come across as loving and caring.","leading/social desirability","Measures desired presentation more than observed exhortation.","I regularly strengthen others with timely words of encouragement, truth, or practical next steps."
"31","FAITH_Q2","86","q31","FAITH","Faith","Asking God for a list of big things is exciting to me.","Asking God for a list of big things is exciting to me.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"32","GIVE_Q2","88","q32","GIVE","Giving","I find ways to give offerings above my tithe.","I find ways to give offerings above my tithe.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"33","HEAL_Q2","90","q33","HEAL","Healing","I believe miraculous healing is for this day and age.","I believe miraculous healing is for this day and age.","doctrine agreement","Measures theological agreement more than gifting evidence.","I regularly feel prompted to pray for healing and have seen people helped, comforted, or restored through that ministry."
"34","HELPS_Q2","92","q34","HELPS","Helps","Helping others is one of my highest achievements","Helping others is one of my highest achievements","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"35","HOSP_Q2","94","q35","HOSP","Hospitality","Creating a warm and welcoming home is important to me.","Creating a warm and welcoming home is important to me.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"36","PRAY_Q2","96","q36","PRAY","Intercession","I am burdened to pray for situations in the world.","I am burdened to pray for situations in the world.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"37","KNOW_Q2","98","q37","KNOW","Word of Knowledge","People seek me out to learn more about the Kingdom of God.","People seek me out to learn more about the Kingdom of God.","evidence-based","Useful because it asks about confirmation or real experience.","Keep close to current wording, then review pastoral clarity."
"38","LEAD_Q2","100","q38","LEAD","Leadership","I prefer to take the lead whenever necessary.","I prefer to take the lead whenever necessary.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"39","MERCY_Q2","102","q39","MERCY","Mercy","I am very sensitive to sad stories.","I am very sensitive to sad stories.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"40","MIRAC_Q2","104","q40","MIRAC","Miracles","Miracles often happen when I am nearby.","Miracles often happen when I am nearby.","high claim / opportunity dependent","Strong discriminator but may feel overstated or hard to answer honestly.","I have seen God work in unusually powerful ways when I prayed, obeyed, or stepped out in faith."
"41","MISS_Q2","106","q41","MISS","Missionary","Living in another country to benefit the gospel is exciting to me","Living in another country to benefit the gospel is exciting to me","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"42","MUSIC_Q2","108","q42","MUSIC","Music/Worship","I desire to serve the church through worship","I desire to serve the church through worship","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"43","PAST_Q2","110","q43","PAST","Pastor/Shepherd","I enjoy connecting, caring for and coaching others.","I enjoy connecting, caring for and coaching others.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"44","PROP_Q2","112","q44","PROP","Prophecy","Confronting someone with sin in their life is not hard for me.","Confronting someone with sin in their life is not hard for me.","tone risk","May reward bluntness rather than mature prophetic courage.","When needed, I can speak corrective truth with courage, humility, and love."
"45","SERVE_Q2","114","q45","SERVE","Service","It bothers me when people sit around and do nothing.","It bothers me when people sit around and do nothing.","negative attitude signal","May measure frustration or task orientation more than joyful service.","I naturally notice practical needs and step in to serve without needing recognition."
"46","TEACH_Q2","116","q46","TEACH","Teaching","I share Biblical truth with others in hopes of their potential growth.","I share Biblical truth with others in hopes of their potential growth.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"47","TONG_Q2","118","q47","TONG","Tongues (and Interpretation)","I pray in tongues daily.","I pray in tongues daily.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"48","WISDOM_Q2","120","q48","WISDOM","Word of Wisdom","When I study scripture God gives me unique insights.","When I study scripture God gives me unique insights.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"49","ADMIN_Q3","122","q49","ADMIN","Administration","Creating a task list is easy and enjoyable for me.","Creating a task list is easy and enjoyable for me.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"50","APOST_Q3","124","q50","APOST","Apostleship","I am attracted to ministries that start new churches.","I am attracted to ministries that start new churches.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"51","CRAFT_Q3","126","q51","CRAFT","Craftsmanship","Building something with my hands is very rewarding to me.","Building something with my hands is very rewarding to me.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"52","DISC_Q3","128","q52","DISC","Discernment","I can pinpoint issues or problems before others.","I can pinpoint issues or problems before others.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"53","EVANG_Q3","130","q53","EVANG","Evangelism","I enjoy sharing the gospel with a total stranger.","I enjoy sharing the gospel with a total stranger.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"54","EXHORT_Q3","132","q54","EXHORT","Exhortation","I look for ways to be an encouragement to other people.","I look for ways to be an encouragement to other people.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"55","FAITH_Q3","134","q55","FAITH","Faith","I trust that God has my back in every situation.","I trust that God has my back in every situation.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"56","GIVE_Q3","136","q56","GIVE","Giving","Making more money means that I can give more.","Making more money means that I can give more.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"57","HEAL_Q3","138","q57","HEAL","Healing","God has used me to bring healing to those who are sick.","God has used me to bring healing to those who are sick.","evidence-based","Useful because it asks about confirmation or real experience.","Keep close to current wording, then review pastoral clarity."
"58","HELPS_Q3","140","q58","HELPS","Helps","Being part of the process is fulfilling to me.","Being part of the process is fulfilling to me.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"59","HOSP_Q3","142","q59","HOSP","Hospitality","I tend to make total strangers feel at home.","I tend to make total strangers feel at home.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"60","PRAY_Q3","144","q60","PRAY","Intercession","People often describe me as a prayer warrior.","People often describe me as a prayer warrior.","evidence-based","Useful because it asks about confirmation or real experience.","Keep close to current wording, then review pastoral clarity."
"61","KNOW_Q3","146","q61","KNOW","Word of Knowledge","I enjoy knowing biblical details and helping others to understand.","I enjoy knowing biblical details and helping others to understand.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"62","LEAD_Q3","148","q62","LEAD","Leadership","I delegate responsibilities to accomplish tasks.","I delegate responsibilities to accomplish tasks.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"63","MERCY_Q3","150","q63","MERCY","Mercy","I am motivated to help those who are less fortunate.","I am motivated to help those who are less fortunate.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"64","MIRAC_Q3","152","q64","MIRAC","Miracles","I have a constant hunger to see God's miraculous power.","I have a constant hunger to see God's miraculous power.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"65","MISS_Q3","154","q65","MISS","Missionary","I focus a lot on reaching the world for Christ.","I focus a lot on reaching the world for Christ.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"66","MUSIC_Q3","156","q66","MUSIC","Music/Worship","I gain my satisfaction through leading others in vocal or instrumental worship.","I gain my satisfaction through leading others in vocal or instrumental worship.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"67","PAST_Q3","158","q67","PAST","Pastor/Shepherd","I enjoy walking with someone in times of difficulty.","I enjoy walking with someone in times of difficulty.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"68","PROP_Q3","160","q68","PROP","Prophecy","I enjoy hearing passionate and clear preaching of the truth.","I enjoy hearing passionate and clear preaching of the truth.","passive preference","Measures appreciation for preaching more than prophetic expression.","I sense a burden to speak God's truth in a way that brings conviction, clarity, or correction."
"69","SERVE_Q3","162","q69","SERVE","Service","I like to do small things that others pass over.","I like to do small things that others pass over.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"70","TEACH_Q3","164","q70","TEACH","Teaching","I prefer to teach the Bible topically rather than verse by verse.","I prefer to teach the Bible topically rather than verse by verse.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"71","TONG_Q3","166","q71","TONG","Tongues (and Interpretation)","Praying in the Spirit is encouraging and important to me.","Praying in the Spirit is encouraging and important to me.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"72","WISDOM_Q3","168","q72","WISDOM","Word of Wisdom","When faced with difficulty I tend to make wise decisions and choices.","When faced with difficulty I tend to make wise decisions and choices.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
